ID,MTO_PIA
1,-58668.519494000255
2,-58316.93480657866
3,-60639.62364535577
4,-60639.62364535577
5,-67586.39724273742
6,-59442.749106925956
7,-57542.70519365295
8,-68360.62685566313
9,-64489.47879103461
10,-58668.519494000255
11,-57894.28988107455
12,-60216.97871985166
13,-69909.08608151454
14,-59865.394032430064
15,-71560.54492387331
16,-71343.89923138375
17,-61413.85325828147
18,-57542.70519365295
19,-66037.93801688602
20,-67380.39800972272
21,-67050.10624125096
22,-60216.97871985166
23,-59091.16441950436
24,-68360.62685566313
25,-62962.31248413288
26,-66059.2309358357
27,-58792.812029457295
28,-56768.47558072725
29,-61765.43794570291
30,-61765.43794570291
31,-64510.77170998429
32,-67050.10624125096
33,-68360.62685566313
34,-68360.62685566313
35,-66389.52270430746
36,-59091.16441950436
37,-59091.16441950436
38,-57542.70519365295
39,-57542.70519365295
40,-70569.66961845805
41,-63736.54209705859
42,-69909.08608151454
43,-69909.08608151454
44,-69134.85646858884
45,-60639.62364535577
46,-70683.31569444024
47,-67380.39800972272
48,-68360.62685566313
49,-60216.97871985166
50,-60216.97871985166
51,-59865.394032430064
52,-71560.54492387331
53,-58316.93480657866
54,-63715.249178108905
55,-67586.39724273742
56,-67586.39724273742
57,-64510.77170998429
58,-67050.10624125096
59,-66812.16762981172
60,-64489.47879103461
61,81538.74433074647
62,-59453.395566400795
63,-62962.31248413288
64,-59123.10379792904
65,-67050.10624125096
66,-58316.93480657866
67,-58668.519494000255
68,-60991.208332777365
69,-64489.47879103461
70,-60991.208332777365
71,-62962.31248413288
72,-66037.93801688602
73,-70786.3153109476
74,-58792.812029457295
75,-66037.93801688602
76,-61765.43794570291
77,-59091.16441950436
78,-66719.81447277921
79,-66719.81447277921
80,-72995.35807374252
81,-64489.47879103461
82,-66812.16762981172
83,-68360.62685566313
84,-70786.3153109476
85,-72995.35807374252
86,-67380.39800972272
87,-70569.66961845805
88,-57120.060268148845
89,-66059.2309358357
90,-66812.16762981172
91,-70683.31569444024
92,-69909.08608151454
93,-59865.394032430064
94,-69134.85646858884
95,-61413.85325828147
96,-61413.85325828147
97,-64510.77170998429
98,-69909.08608151454
99,-58316.93480657866
100,-63715.249178108905
101,-63715.249178108905
102,-58792.812029457295
103,-65263.708403960314
104,-71560.54492387331
105,-58668.519494000255
106,-60639.62364535577
107,-67380.39800972272
108,-68360.62685566313
109,-66059.2309358357
110,-58792.812029457295
111,-59442.749106925956
112,-68360.62685566313
113,-66812.16762981172
114,71392.05266515464
115,-60216.97871985166
116,-56768.47558072725
117,-61765.43794570291
118,-64510.77170998429
119,-61765.43794570291
120,-71343.89923138375
121,-66719.81447277921
122,-70569.66961845805
123,-64510.77170998429
124,-64510.77170998429
125,-67050.10624125096
126,-58316.93480657866
127,-57542.70519365295
128,-66037.93801688602
129,-66037.93801688602
130,-64510.77170998429
131,-67050.10624125096
132,-68360.62685566313
133,-62962.31248413288
134,-66812.16762981172
135,-57120.060268148845
136,-65263.708403960314
137,-72334.77453679901
138,-58316.93480657866
139,-59442.749106925956
140,-57542.70519365295
141,-70569.66961845805
142,-57894.28988107455
143,-66389.52270430746
144,-58792.812029457295
145,-59453.395566400795
146,-62962.31248413288
147,73817.74112043911
148,-56768.47558072725
149,84635.66278244929
150,-59442.749106925956
151,-65263.708403960314
152,-70786.3153109476
153,-57120.060268148845
154,-71343.89923138375
155,-69909.08608151454
156,-59442.749106925956
157,-66389.52270430746
158,-66389.52270430746
159,-64489.47879103461
160,-68360.62685566313
161,-70786.3153109476
162,-57894.28988107455
163,-56768.47558072725
164,-64489.47879103461
165,-71343.89923138375
166,-65285.00132291
167,-66059.2309358357
168,-67586.39724273742
169,-64489.47879103461
170,-64510.77170998429
171,-57120.060268148845
172,-69134.85646858884
173,-65285.00132291
174,-58316.93480657866
175,-67586.39724273742
176,-67586.39724273742
177,-66037.93801688602
178,-67380.39800972272
179,-67050.10624125096
180,-56768.47558072725
181,-63736.54209705859
182,-71343.89923138375
183,-71343.89923138375
184,-71343.89923138375
185,-63715.249178108905
186,-67586.39724273742
187,-67380.39800972272
188,-70569.66961845805
189,-67050.10624125096
190,-68360.62685566313
191,-66812.16762981172
192,-66812.16762981172
193,-66812.16762981172
194,-57120.060268148845
195,-58792.812029457295
196,-59865.394032430064
197,-71343.89923138375
198,-60991.208332777365
199,-66037.93801688602
200,-67050.10624125096
201,-68360.62685566313
202,-62962.31248413288
203,-66812.16762981172
204,-69134.85646858884
205,-71560.54492387331
206,-60216.97871985166
207,-65285.00132291
208,-65285.00132291
209,-61413.85325828147
210,-66037.93801688602
211,-67380.39800972272
212,-64510.77170998429
213,-67050.10624125096
214,-62962.31248413288
215,-66389.52270430746
216,-66812.16762981172
217,-70786.3153109476
218,-70786.3153109476
219,-71343.89923138375
220,-70683.31569444024
221,-64510.77170998429
222,-66389.52270430746
223,-66812.16762981172
224,-60216.97871985166
225,-69134.85646858884
226,-59091.16441950436
227,-59091.16441950436
228,-62188.08287120718
229,-60991.208332777365
230,-57120.060268148845
231,-70786.3153109476
232,-60216.97871985166
233,-56768.47558072725
234,-56768.47558072725
235,-61765.43794570291
236,-59865.394032430064
237,-70683.31569444024
238,-70683.31569444024
239,-63715.249178108905
240,-60639.62364535577
241,-58668.519494000255
242,-64489.47879103461
243,-59123.10379792904
244,-68360.62685566313
245,-69909.08608151454
246,-59091.16441950436
247,-67586.39724273742
248,-68360.62685566313
249,-69909.08608151454
250,-65285.00132291
251,-63736.54209705859
252,-64489.47879103461
253,-66389.52270430746
254,-64489.47879103461
255,-65263.708403960314
256,-67586.39724273742
257,-68360.62685566313
258,-61413.85325828147
259,-64489.47879103461
260,-71343.89923138375
261,-70569.66961845805
262,-65263.708403960314
263,-67586.39724273742
264,-70786.3153109476
265,-60991.208332777365
266,-61765.43794570291
267,-56768.47558072725
268,-71560.54492387331
269,-59091.16441950436
270,-64510.77170998429
271,-68360.62685566313
272,-66059.2309358357
273,-66059.2309358357
274,-57120.060268148845
275,-69909.08608151454
276,-58316.93480657866
277,-60639.62364535577
278,-67586.39724273742
279,-62188.08287120718
280,-60991.208332777365
281,75366.20034629053
282,-60216.97871985166
283,-61765.43794570291
284,-69134.85646858884
285,-60639.62364535577
286,-61413.85325828147
287,-66719.81447277921
288,-67050.10624125096
289,-67050.10624125096
290,-68360.62685566313
291,-68360.62685566313
292,-58792.812029457295
293,-56768.47558072725
294,-61413.85325828147
295,-67586.39724273742
296,-59442.749106925956
297,-57542.70519365295
298,-57542.70519365295
299,-60991.208332777365
300,-68360.62685566313
301,-68360.62685566313
302,-66812.16762981172
303,-70786.3153109476
304,-70786.3153109476
305,-60216.97871985166
306,-61765.43794570291
307,-72334.77453679901
